ftc.delta_t,ftc.goal_count,config.dummy,action.delta,state.value,reward,terminal,time,simulator,predict,sim_id,statistics.episode_reward,statistics.episode_count,statistics.episode_rate,statistics.iteration_count,statistics.iteration_rate
,,,,,,,,,,,,,,,
-4436820.0,,,,,,,,,,,,,,,
444.0,1,,-1,0,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,2,32,33,4,131
553.0,2,,1,1,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,4,32,33,5,132
431.0,3,,0,1,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,7,32,33,6,133
426.0,3,,-1,0,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,10,32,33,7,131
2267.0,3,,0,0,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,13,32,33,8,132
442.0,3,,-1,-1,3,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,16,32,33,9,133
426.0,,,,,,,,,,,,,,,
219.0,,-1,,0,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,33,34,0,133
335.0,0,,-1,-1,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,33,34,1,134
500.0,,,,,,,,,,,,,,,
277.0,,-1,,2,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,34,35,0,134
354.0,0,,1,3,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,34,35,1,135
407.0,,,,,,,,,,,,,,,
217.0,,-1,,0,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,35,36,0,135
352.0,1,,1,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,35,36,1,136
454.0,1,,1,2,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,2,35,36,2,137
439.0,2,,-1,1,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,4,35,36,3,134
2519.0,3,,0,1,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,7,35,36,4,134
596.0,3,,-1,0,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,10,35,36,5,135
663.0,4,,1,1,4,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,14,35,36,6,136
527.0,,,,,,,,,,,,,,,
296.0,,-1,,0,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,36,35,0,136
428.0,0,,-1,-1,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,36,35,1,137
493.0,,,,,,,,,,,,,,,
233.0,,-1,,2,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,37,36,0,137
353.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,37,36,1,138
427.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,37,36,2,139
422.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,37,36,3,140
421.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,37,36,4,137
2455.0,1,,-1,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,37,36,5,138
467.0,1,,-1,0,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,2,37,36,6,139
439.0,1,,-1,-1,1,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,3,37,36,7,140
439.0,,,,,,,,,,,,,,,
238.0,,-1,,2,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,38,36,0,140
362.0,0,,1,3,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,38,36,1,140
437.0,,,,,,,,,,,,,,,
232.0,,-1,,1,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,39,37,0,140
358.0,0,,-1,0,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,39,37,1,141
437.0,0,,-1,-1,0,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,39,37,2,142
434.0,,,,,,,,,,,,,,,
233.0,,-1,,1,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,40,38,0,142
364.0,0,,1,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,40,38,1,139
2441.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,40,38,2,140
452.0,1,,-1,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,40,38,3,140
519.0,1,,-1,0,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,2,40,38,4,141
416.0,1,,-1,-1,1,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,3,40,38,5,142
411.0,,,,,,,,,,,,,,,
246.0,,-1,,2,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,41,38,0,142
343.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,41,38,1,143
408.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,41,38,2,144
406.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,41,38,3,145
420.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,41,38,4,146
517.0,,,,,,,,,,,,,,,
1224.0,,-1,,0,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,41,38,0,146
1253.0,1,,1,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,41,38,1,142
1611.0,1,,-1,0,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,2,41,38,2,142
1737.0,2,,1,1,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,4,41,38,3,142
1538.0,2,,-1,0,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,6,41,38,4,142
1568.0,3,,1,1,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,9,41,38,5,142
1441.0,3,,-1,0,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,12,41,38,6,142
1607.0,4,,1,1,4,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,16,41,38,7,142
1559.0,,,,,,,,,,,,,,,
289.0,,,,,,,,,,,,,,,
1082.0,,-1,,1,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,42,36,0,142
1242.0,1,,0,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,42,36,1,140
2382.0,1,,-1,0,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,2,42,36,2,141
540.0,2,,1,1,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,4,42,36,3,142
472.0,3,,0,1,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,7,42,36,4,143
488.0,4,,0,1,4,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,11,42,36,5,143
469.0,,,,,,,,,,,,,,,
262.0,,-1,,2,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,43,36,0,143
493.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,43,36,1,144
679.0,1,,-1,1,1,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,1,43,36,2,145
483.0,2,,0,1,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,3,43,36,3,145
10499.0,2,,1,2,2,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,5,43,36,4,145
490.0,3,,-1,1,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,8,43,36,5,143
2493.0,3,,-1,0,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,11,43,36,6,144
589.0,4,,1,1,4,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,15,43,36,7,145
494.0,,,,,,,,,,,,,,,
255.0,,-1,,2,,,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,44,36,0,145
388.0,0,,0,2,0,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,0,44,36,1,145
